date,VOO,QQQ,VEA,IEMG,SGOV,IEF,SCHP,DBMF,SGOL,BITB,CAOS,VXUS,BND
2013-03-01,110.611641,60.256054,24.069899,36.421921,80.021184,79.747589,20.442280,16.477354,15.548000,,71.727287,31.975809,56.704014
2013-03-04,111.230995,60.524353,24.176626,36.173965,80.003706,79.561768,20.400059,16.441194,15.528000,,71.711621,32.009380,56.690445
2013-03-05,112.183861,61.418613,24.410126,36.528194,80.021184,79.479935,20.431713,16.473337,15.555000,,71.727287,32.318325,56.656521
2013-03-06,112.390305,61.266586,24.470165,36.691135,80.003706,79.227287,20.371908,16.513515,15.622000,,71.711621,32.405640,56.561623
2013-03-07,112.596779,61.427540,24.543552,36.790325,80.021184,78.922546,20.319132,16.497443,15.565000,,71.727287,32.499672,56.480236
2013-03-08,113.041473,61.499081,24.596920,37.066628,80.003706,78.521255,20.220617,16.549676,15.568000,,71.711621,32.586964,56.324265
2013-03-11,113.454376,61.677967,24.663630,36.896603,80.021184,78.558388,20.234688,16.509499,15.596000,,71.727287,32.627274,56.297134
2013-03-12,113.200272,61.454403,24.556896,36.521107,80.003706,78.773926,20.252285,16.485391,15.718000,,71.711621,32.459366,56.405682
2013-03-13,113.359062,61.373894,24.503519,36.230640,80.021184,78.707085,20.259323,16.529588,15.666000,,71.727287,32.351898,56.337814
2013-03-14,113.962547,61.579605,24.770376,36.393589,80.021184,78.729362,20.287472,16.489407,15.673000,,71.727287,32.607128,56.358173
2013-03-15,113.803734,61.408379,24.790388,36.081860,80.021184,79.004349,20.319132,16.493428,15.701000,,71.727287,32.566818,56.425976
2013-03-18,113.184380,61.273918,24.516865,35.678043,80.003706,79.264488,20.378948,16.541643,15.839000,,71.711621,32.271309,56.534466
2013-03-19,112.914413,61.157410,24.443483,35.401745,80.003706,79.509750,20.389503,16.493428,15.910000,,71.711621,32.130260,56.568359
2013-03-20,113.692528,61.587662,24.610260,35.656788,80.003706,79.204979,20.326174,16.485391,15.845000,,71.711621,32.385487,56.514065
2013-03-21,112.771423,60.888508,24.403463,35.288387,80.003706,79.413109,20.357830,16.417088,15.926000,,71.711621,32.089973,56.527710
2013-03-22,113.593216,61.480103,24.625246,35.401745,80.021184,79.442856,20.368389,16.425124,15.857000,,71.727287,32.322292,56.581970
2013-03-25,113.274063,61.255997,24.303617,35.359245,80.003706,79.502266,20.378948,16.453251,15.827000,,71.711621,32.039471,56.575169
2013-03-26,114.119759,61.587662,24.444330,35.826817,80.021184,79.584030,20.393017,16.493428,15.777000,,71.727287,32.234745,56.595509
2013-03-27,114.055923,61.668335,24.323725,35.897667,80.003706,79.925980,20.445793,16.493428,15.834000,,71.711621,32.167404,56.710812
2013-03-28,114.311249,61.820713,24.410826,35.961426,80.021184,79.777275,20.417645,16.593875,15.746000,,71.727287,32.302094,56.717579
2013-04-01,113.992142,61.399441,24.122698,35.628460,80.003706,79.989349,20.488018,16.638072,15.769000,,71.711621,32.005795,56.769321
2013-04-02,114.550598,61.883419,24.377325,35.656788,80.021184,79.833061,20.449322,16.654144,15.541000,,71.727287,32.147209,56.776085
2013-04-03,113.401787,61.318729,24.263409,35.274220,80.003706,80.167984,20.498569,16.561730,15.363000,,71.711621,31.931738,56.810123
2013-04-04,113.848511,61.336681,24.477831,35.182121,80.003706,80.488029,20.586531,16.613965,15.319000,,71.711621,32.127010,56.973461
2013-04-05,113.401787,60.825748,24.370621,35.097095,80.021184,80.741058,20.670988,16.666197,15.579000,,71.727287,31.965397,57.130005
2013-04-08,114.103806,61.148434,24.451029,35.111271,80.021184,80.480576,20.600603,16.682270,15.518000,,71.727287,31.999063,57.102798
2013-04-09,114.518661,61.560757,24.551537,35.423004,80.021184,80.510330,20.554874,16.605929,15.636000,,71.727287,32.194344,57.041515
2013-04-10,115.922852,62.761829,24.899973,35.770138,80.021184,80.175415,20.463385,16.670212,15.372000,,71.727287,32.645515,56.932636
2013-04-11,116.305786,62.734970,25.094305,35.770138,80.003706,80.264702,20.516165,16.609946,15.396000,,71.711621,32.786926,56.959854
2013-04-12,116.050529,62.690166,25.060804,35.345066,80.021184,80.711296,20.575977,16.617984,14.667000,,71.727287,32.625309,57.095970
2013-04-15,113.401787,61.453190,24.538136,34.445312,80.021184,80.889877,20.604130,16.698340,13.389000,,71.727287,31.837444,57.157265
2013-04-16,114.997360,62.268856,24.893276,35.217548,80.021184,80.659149,20.572468,16.634055,13.543000,,71.727287,32.430031,57.143616
2013-04-17,113.306000,61.049843,24.384022,34.686199,80.021184,80.808067,20.558399,16.642088,13.544000,,71.727287,31.709507,57.170856
2013-04-18,112.380531,60.207283,24.323725,34.714531,80.003706,80.852669,20.410608,16.690305,13.695000,,71.711621,31.689301,57.204876
2013-04-19,113.577309,61.031914,24.491226,35.217548,80.021184,80.808067,20.495064,16.726464,13.813000,,71.727287,32.025993,57.157265
2013-04-22,114.087860,61.659355,24.611849,35.380486,80.021184,80.852669,20.547838,16.754588,14.053000,,71.727287,32.100067,57.232086
2013-04-23,115.300522,62.250954,24.953587,35.536350,80.021184,80.800644,20.558399,16.790751,13.954000,,71.727287,32.463703,57.218479
2013-04-24,115.332413,62.224052,25.168007,35.663868,80.021184,80.837761,20.597088,16.790751,14.105000,,71.727287,32.699383,57.204876
2013-04-25,115.843048,62.555725,25.308723,35.926003,80.003706,80.748482,20.597088,16.734499,14.437000,,71.711621,32.874462,57.170856
2013-04-26,115.587761,62.358501,25.322124,35.670963,80.003706,81.038727,20.660427,16.754588,14.363000,,71.711621,32.894653,57.245712
2013-04-29,116.337700,62.932175,25.616955,36.025188,80.003706,81.008926,20.628761,16.698340,14.502000,,71.711621,33.244820,57.293343
2013-04-30,116.704681,63.389286,25.683969,36.464428,80.003706,80.994118,20.604130,16.634055,14.549000,,71.711621,33.433372,57.293343
2013-05-01,115.651604,63.093479,25.489651,36.096035,80.003706,81.258644,20.601662,16.738519,14.385000,,71.711621,33.170753,57.390202
2013-05-02,116.688721,63.891289,25.570053,36.386505,80.021184,81.258644,20.569969,16.613965,14.461000,,71.727287,33.332367,57.403797
2013-05-03,117.789665,64.644127,25.878284,36.691135,80.003706,80.565636,20.422056,16.553695,14.484000,,71.711621,33.648853,57.131081
2013-05-06,118.156731,64.895142,25.858187,36.698227,80.003706,80.461342,20.415018,16.601911,14.486000,,71.711621,33.615192,57.124229
2013-05-07,118.763115,64.859314,25.925190,36.981609,80.003706,80.349548,20.400928,16.573787,14.310000,,71.711621,33.743130,57.069695
2013-05-08,119.385345,65.173012,26.193228,37.229572,80.021184,80.446411,20.358665,16.585837,14.522000,,71.727287,34.126961,57.124229
2013-05-09,119.034279,65.083397,25.945303,36.939098,80.021184,80.431465,20.362188,16.525572,14.359000,,71.727287,33.763332,57.035614
2013-05-10,119.449188,65.477776,25.958698,36.676975,80.003706,79.976936,20.302317,16.553695,14.233000,,71.711621,33.817200,56.892414
2013-05-13,119.433243,65.558456,25.958698,36.436092,80.021184,79.835434,20.242455,16.501463,14.108000,,71.727287,33.736385,56.830971
2013-05-14,120.693771,65.899055,26.052509,36.584866,80.003706,79.514954,20.161461,16.553695,14.052000,,71.711621,33.817200,56.721943
2013-05-15,121.379868,66.033516,26.139620,36.613220,80.003706,79.723618,20.161461,16.630033,13.729000,,71.711621,33.877789,56.790131
2013-05-16,120.821434,65.961784,25.925190,36.492767,80.003706,80.103661,20.217802,16.585837,13.670000,,71.711621,33.635399,56.871895
